0 1:0.000000 2:0.160000 3:-0.327327 4:0.811111 
0 1:0.000000 2:0.060000 3:0.166667 4:2.428968 
0 1:1.000000 2:0.840000 3:-0.166667 4:0.250000 
1 1:1.000000 2:0.300000 3:0.500000 4:1.744444 
1 1:1.000000 2:0.400000 3:-0.166667 4:0.166667 
0 1:0.000000 2:0.240000 3:-0.612372 4:1.078968 
0 1:1.000000 2:0.660000 3:-0.250000 4:0.267857 
0 1:1.000000 2:0.620000 3:1.000000 4:1.500000 
0 1:0.000000 2:0.200000 3:-0.500000 4:1.077778 
0 1:0.000000 2:0.360000 3:-0.250000 4:0.433333 
1 1:1.000000 2:0.520000 3:0.666667 4:0.266667 
0 1:1.000000 2:0.540000 3:0.666667 4:0.169935 
0 1:1.000000 2:0.540000 3:1.000000 4:0.460852 
0 1:1.000000 2:0.640000 3:0.458831 4:0.066667 
0 1:0.000000 2:0.190000 3:-1.026872 4:0.226984 
0 1:0.000000 2:0.100000 3:-2.449490 4:0.602372 
0 1:0.000000 2:0.100000 3:-0.145479 4:0.528797 
0 1:0.000000 2:0.030000 3:-0.840168 4:2.306831 
0 1:1.000000 2:0.730000 3:0.458831 4:0.083333 
0 1:1.000000 2:0.570000 3:0.458831 4:0.090909 
0 1:0.000000 2:0.280000 3:-1.600264 4:1.930556 
0 1:0.000000 2:0.090000 3:-0.871033 4:1.384317 
0 1:0.000000 2:0.020000 3:-0.458832 4:3.535240 
0 1:0.000000 2:0.020000 3:-0.666667 4:3.363974 
0 1:0.000000 2:0.170000 3:-3.464101 4:0.367711 
0 1:0.000000 2:0.290000 3:-0.384900 4:0.481187 
0 1:1.000000 2:0.670000 3:0.666667 4:1.200000 
0 1:0.000000 2:0.380000 3:-1.026872 4:0.361455 
0 1:1.000000 2:0.760000 3:0.666667 4:0.476190 
0 1:1.000000 2:0.490000 3:0.666667 4:0.625000 
0 1:0.000000 2:0.200000 3:0.000000 4:1.813506 
0 1:0.000000 2:0.280000 3:-0.338917 4:0.112745 
0 1:0.000000 2:0.395000 3:-0.595119 4:0.181456 
0 1:1.000000 2:0.815000 3:0.409589 4:0.376812 
1 1:1.000000 2:0.260000 3:0.000000 4:0.144841 
0 1:0.000000 2:0.285000 3:-0.539841 4:0.282583 
0 1:0.000000 2:0.095000 3:0.250000 4:0.383292 
0 1:0.000000 2:0.015000 3:-0.427546 4:2.897105 
1 1:1.000000 2:0.260000 3:0.000000 4:0.075499 
0 1:0.000000 2:0.550000 3:0.000000 4:0.037037 
1 1:1.000000 2:0.270000 3:0.338917 4:0.432540 
0 1:0.000000 2:0.170000 3:-0.704807 4:0.291044 
0 1:1.000000 2:0.755000 3:0.000000 4:0.034483 
0 1:1.000000 2:0.500000 3:0.000000 4:0.033333 
0 1:0.000000 2:0.140000 3:-0.446339 4:0.300267 
0 1:1.000000 2:0.570000 3:0.539841 4:0.529086 
0 1:1.000000 2:0.675000 3:0.000000 4:0.030303 
0 1:1.000000 2:0.380000 3:0.819178 4:0.700000 
0 1:1.000000 2:0.675000 3:0.000000 4:0.172269 
0 1:0.000000 2:0.105000 3:0.234936 4:0.623246 
0 1:0.000000 2:0.205000 3:-0.338917 4:0.122611 
0 1:1.000000 2:0.335000 3:0.409589 4:1.050000 
0 1:1.000000 2:0.455000 3:0.000000 4:0.135965 
0 1:0.000000 2:0.530000 3:-0.409589 4:0.066316 
0 1:1.000000 2:0.775000 3:0.000000 4:0.058824 
1 1:1.000000 2:0.175000 3:1.000000 4:1.330909 
0 1:1.000000 2:0.690000 3:0.000000 4:0.066667 
0 1:0.000000 2:0.260000 3:-0.234936 4:0.551510 
0 1:0.000000 2:0.105000 3:-0.194798 4:0.974849 
0 1:1.000000 2:0.840000 3:0.000000 4:0.109181 
0 1:0.000000 2:0.025000 3:-0.561469 4:2.645931 
0 1:0.000000 2:0.490000 3:-0.571772 4:0.027778 
0 1:0.000000 2:0.130000 3:0.000000 4:0.849867 
0 1:0.000000 2:0.175000 3:-0.338917 4:0.254212 
0 1:1.000000 2:0.520000 3:0.000000 4:0.125000 
0 1:0.000000 2:0.060000 3:0.206155 4:1.859695 
0 1:0.000000 2:0.315000 3:-0.338917 4:0.178144 
0 1:0.000000 2:0.625000 3:0.000000 4:0.138528 
0 1:1.000000 2:0.750000 3:0.000000 4:0.162500 
0 1:1.000000 2:0.305000 3:0.571772 4:1.000000 
0 1:0.000000 2:0.073333 3:-0.226829 4:0.786368 
0 1:1.000000 2:0.470000 3:0.028823 4:0.032258 
0 1:1.000000 2:0.776667 3:0.041112 4:0.114583 
1 1:1.000000 2:0.363333 3:0.028823 4:0.030303 
0 1:1.000000 2:0.813333 3:0.028823 4:0.029412 
0 1:1.000000 2:0.530000 3:0.041112 4:0.050311 
0 1:0.000000 2:0.043333 3:-0.442790 4:0.462295 
0 1:1.000000 2:0.673333 3:0.452232 4:0.590909 
0 1:1.000000 2:0.683333 3:0.041112 4:0.054805 
0 1:0.000000 2:0.063333 3:0.000000 4:1.267051 
0 1:1.000000 2:0.833333 3:0.028823 4:0.025641 
0 1:1.000000 2:0.860000 3:0.028823 4:0.025000 
0 1:1.000000 2:0.666667 3:0.041112 4:0.047118 
0 1:1.000000 2:0.723333 3:0.041112 4:0.069264 
0 1:0.000000 2:0.276667 3:0.066753 4:0.507071 
0 1:1.000000 2:0.573333 3:0.050792 4:0.098970 
1 1:1.000000 2:0.303333 3:1.000000 4:2.098240 
0 1:1.000000 2:0.453333 3:0.028823 4:0.022222 
0 1:0.000000 2:0.383333 3:-0.370008 4:0.040607 
0 1:1.000000 2:0.390000 3:0.605286 4:0.250000 
0 1:1.000000 2:0.530000 3:0.028823 4:0.021277 
0 1:0.000000 2:0.173333 3:-0.287818 4:0.067429 
0 1:0.000000 2:0.300000 3:-0.370008 4:0.037500 
0 1:1.000000 2:0.826667 3:0.028823 4:0.020408 
0 1:0.000000 2:0.073333 3:-0.073798 4:0.555140 
0 1:0.000000 2:0.503333 3:-0.547640 4:0.016949 
0 1:0.000000 2:0.020000 3:0.432591 4:2.862829 
0 1:0.000000 2:0.306667 3:-0.626428 4:0.068182 
0 1:1.000000 2:0.440000 3:0.452232 4:0.352564 
0 1:0.000000 2:0.310000 3:-0.664185 4:0.175077 
0 1:1.000000 2:0.463333 3:0.041112 4:0.309524 
0 1:0.000000 2:0.146667 3:-0.276548 4:0.393648 
0 1:1.000000 2:0.860000 3:0.028823 4:0.111111 
0 1:1.000000 2:0.540000 3:0.041112 4:0.225000 
0 1:0.000000 2:0.190000 3:0.050792 4:0.174686 
0 1:1.000000 2:0.516667 3:0.452232 4:0.352941 
0 1:0.000000 2:0.123333 3:-0.347353 4:0.294588 
0 1:0.000000 2:0.146667 3:-0.467272 4:0.230055 
0 1:0.000000 2:0.293333 3:-0.626428 4:0.072126 
0 1:1.000000 2:0.783333 3:0.028823 4:0.076923 
0 1:0.000000 2:0.360000 3:-0.370008 4:0.061660 
0 1:0.000000 2:0.130000 3:0.093005 4:0.353652 
0 1:1.000000 2:0.870000 3:0.041112 4:0.086667 
1 1:1.000000 2:0.330000 3:0.452232 4:0.262500 
0 1:1.000000 2:0.863333 3:0.028823 4:0.058824 
0 1:1.000000 2:0.570000 3:0.028823 4:0.055556 
0 1:0.000000 2:0.040000 3:-0.421792 4:1.155227 
0 1:0.000000 2:0.493333 3:-0.626428 4:0.066063 
0 1:1.000000 2:0.693333 3:0.041112 4:0.073465 
0 1:1.000000 2:0.873333 3:0.028823 4:0.050000 
0 1:1.000000 2:0.526667 3:0.028823 4:0.047619 
0 1:0.000000 2:0.273333 3:-0.130257 4:0.463788 
0 1:0.000000 2:0.033333 3:-0.325224 4:0.934388 
0 1:1.000000 2:0.790000 3:0.028823 4:0.041667 
0 1:0.000000 2:0.293333 3:-0.287818 4:0.200401 
0 1:0.000000 2:0.063333 3:-0.467272 4:0.429066 
0 1:1.000000 2:0.603333 3:0.028823 4:0.037037 
0 1:0.000000 2:0.030000 3:-0.432591 4:1.161173 
0 1:1.000000 2:0.676667 3:0.452232 4:1.026316 
0 1:1.000000 2:0.783333 3:0.041112 4:0.072944 
0 1:0.000000 2:0.073333 3:-0.302435 4:0.491058 
0 1:1.000000 2:0.470000 3:0.085840 4:0.222222 
0 1:1.000000 2:0.776667 3:0.048712 4:0.032258 
1 1:1.000000 2:0.363333 3:0.048712 4:0.031250 
0 1:1.000000 2:0.813333 3:0.048712 4:0.030303 
0 1:1.000000 2:0.530000 3:0.486366 4:0.529412 
0 1:0.000000 2:0.043333 3:-0.276860 4:1.117159 
0 1:1.000000 2:0.673333 3:0.486366 4:0.361111 
0 1:1.000000 2:0.683333 3:0.048712 4:0.027027 
0 1:0.000000 2:0.063333 3:-0.348154 4:0.556578 
0 1:1.000000 2:0.833333 3:0.085840 4:0.092674 
0 1:1.000000 2:0.860000 3:0.048712 4:0.025000 
0 1:1.000000 2:0.666667 3:0.069481 4:0.047118 
0 1:1.000000 2:0.723333 3:0.048712 4:0.034483 
0 1:0.000000 2:0.276667 3:-0.800000 4:0.073224 
0 1:1.000000 2:0.573333 3:0.633259 4:0.200000 
1 1:1.000000 2:0.303333 3:0.903251 4:1.333333 
0 1:1.000000 2:0.453333 3:0.069481 4:0.145000 
0 1:0.000000 2:0.383333 3:0.085840 4:0.176634 
0 1:1.000000 2:0.390000 3:1.000000 4:0.971277 
0 1:1.000000 2:0.530000 3:0.048712 4:0.020833 
0 1:0.000000 2:0.173333 3:0.157181 4:1.366997 
0 1:0.000000 2:0.300000 3:-0.500000 4:0.138000 
0 1:1.000000 2:0.826667 3:0.069481 4:0.065863 
0 1:0.000000 2:0.073333 3:0.187083 4:0.673923 
0 1:0.000000 2:0.503333 3:-0.535835 4:0.019231 
0 1:0.000000 2:0.020000 3:0.025882 4:3.046956 
0 1:0.000000 2:0.306667 3:-0.428698 4:0.123622 
0 1:1.000000 2:0.440000 3:0.069481 4:0.050125 
0 1:0.000000 2:0.310000 3:-0.347404 4:0.185185 
0 1:1.000000 2:0.463333 3:0.633259 4:1.000000 
0 1:0.000000 2:0.146667 3:-0.293520 4:0.321906 
0 1:1.000000 2:0.860000 3:0.048712 4:0.111111 
0 1:1.000000 2:0.540000 3:0.069481 4:0.171429 
0 1:0.000000 2:0.190000 3:-0.428698 4:0.255324 
0 1:1.000000 2:0.516667 3:0.048712 4:0.083333 
0 1:0.000000 2:0.123333 3:-0.513660 4:0.302042 
0 1:0.000000 2:0.146667 3:-0.330237 4:0.435626 
0 1:0.000000 2:0.293333 3:0.085840 4:0.126233 
0 1:1.000000 2:0.783333 3:0.069481 4:0.157576 
0 1:0.000000 2:0.360000 3:-0.600877 4:0.056375 
0 1:0.000000 2:0.130000 3:-0.699454 4:0.223282 
0 1:1.000000 2:0.870000 3:0.048712 4:0.062500 
1 1:1.000000 2:0.330000 3:0.486366 4:0.273256 
0 1:1.000000 2:0.863333 3:0.048712 4:0.058824 
0 1:1.000000 2:0.570000 3:0.069481 4:0.091270 
0 1:0.000000 2:0.040000 3:-0.139140 4:1.435647 
0 1:0.000000 2:0.493333 3:-0.800000 4:0.083642 
0 1:1.000000 2:0.693333 3:0.048712 4:0.052632 
0 1:1.000000 2:0.873333 3:0.048712 4:0.050000 
0 1:1.000000 2:0.526667 3:0.048712 4:0.047619 
0 1:0.000000 2:0.273333 3:-0.764289 4:0.037152 
0 1:0.000000 2:0.033333 3:-0.152753 4:2.514589 
0 1:1.000000 2:0.790000 3:0.085840 4:0.142140 
0 1:0.000000 2:0.293333 3:-0.944235 4:0.054628 
0 1:0.000000 2:0.063333 3:-0.052394 4:0.543452 
0 1:1.000000 2:0.603333 3:0.048712 4:0.040000 
0 1:0.000000 2:0.030000 3:-0.491750 4:0.717856 
0 1:1.000000 2:0.676667 3:0.069481 4:0.078704 
0 1:1.000000 2:0.783333 3:0.048712 4:0.142857 
0 1:1.000000 2:0.640000 3:0.024216 4:0.049451 
1 1:1.000000 2:0.280000 3:1.000000 4:0.944444 
0 1:1.000000 2:0.735000 3:0.024216 4:0.044173 
0 1:1.000000 2:0.567500 3:0.455552 4:0.285606 
0 1:1.000000 2:0.812500 3:0.017015 4:0.018182 
1 1:1.000000 2:0.392500 3:0.017015 4:0.018519 
0 1:1.000000 2:0.745000 3:0.017015 4:0.018868 
0 1:0.000000 2:0.252500 3:-0.531101 4:0.101570 
0 1:1.000000 2:0.740000 3:0.017015 4:0.019608 
0 1:0.000000 2:0.365000 3:-0.377457 4:0.104039 
0 1:0.000000 2:0.027500 3:-0.217945 4:1.584332 
0 1:1.000000 2:0.742500 3:0.017015 4:0.020000 
0 1:0.000000 2:0.080000 3:-0.039233 4:0.767104 
0 1:1.000000 2:0.882500 3:0.017015 4:0.020833 
0 1:0.000000 2:0.075000 3:-0.378354 4:0.733581 
0 1:1.000000 2:0.597500 3:0.347097 4:0.164596 
0 1:1.000000 2:0.655000 3:0.024216 4:0.041453 
0 1:1.000000 2:0.417500 3:0.017015 4:0.022727 
0 1:0.000000 2:0.027500 3:-0.231007 4:0.782721 
0 1:0.000000 2:0.430000 3:-0.500825 4:0.043984 
0 1:1.000000 2:0.642500 3:0.470739 4:0.333333 
0 1:0.000000 2:0.055000 3:-0.280670 4:0.773802 
0 1:1.000000 2:0.572500 3:0.024216 4:0.045667 
0 1:1.000000 2:0.467500 3:0.470739 4:0.500000 
0 1:1.000000 2:0.897500 3:0.017015 4:0.015385 
0 1:0.000000 2:0.390000 3:-0.890490 4:0.054793 
0 1:1.000000 2:0.615000 3:0.017015 4:0.016949 
0 1:0.000000 2:0.487500 3:-0.436709 4:0.012821 
