ith_CG_iter,current_time,lp_obj,nnrc_cols,min_rc,mean_rc,median_rc,stdev_rc,column_selection_time
1,0.00494909,18,1,-2,-2,-2,0,0
2,0.00881314,17.6667,1,-1.66667,-1.66667,-1.66667,0,0
3,0.0129681,17.5,1,-1,-1,-1,0,0
4,0.017154,17,1,-1,-1,-1,0,0
5,0.0215881,17,1,-1,-1,-1,0,0
6,0.025847,16.8462,1,-0.769231,-0.769231,-0.769231,0,0
7,0.0299671,16.8,1,-0.6,-0.6,-0.6,0,0
8,0.0340869,16.6944,1,-0.666667,-0.666667,-0.666667,0,0
9,0.0378091,16.68,1,-0.44,-0.44,-0.44,0,0
10,0.0422471,16.5714,1,-0.428571,-0.428571,-0.428571,0,0
11,0.047606,16.5714,1,-0.428571,-0.428571,-0.428571,0,0
12,0.0520461,16.5,1,-0.5,-0.5,-0.5,0,0
13,0.055871,16.3103,1,-0.344828,-0.344828,-0.344828,0,0
14,0.0596941,16.2963,1,-0.37037,-0.37037,-0.37037,0,0
15,0.0641351,16.1667,1,-0.5,-0.5,-0.5,0,0
16,0.069459,16.1429,1,-0.285714,-0.285714,-0.285714,0,0
17,0.073688,16.0753,1,-0.462366,-0.462366,-0.462366,0,0
18,0.0775859,16.0583,1,-0.375,-0.375,-0.375,0,0
19,0.083133,15.9773,1,-0.287879,-0.287879,-0.287879,0,0
20,0.0887341,15.9454,1,-0.234973,-0.234973,-0.234973,0,0
21,0.0930381,15.931,1,-0.206897,-0.206897,-0.206897,0,0
22,0.09867,15.931,1,-0.241379,-0.241379,-0.241379,0,0
23,0.103065,15.9091,1,-0.257576,-0.257576,-0.257576,0,0
24,0.107898,15.875,1,-0.339286,-0.339286,-0.339286,0,0
25,0.113594,15.8667,1,-0.2,-0.2,-0.2,0,0
26,0.118094,15.7692,1,-0.179487,-0.179487,-0.179487,0,0
27,0.122951,15.6364,1,-0.272727,-0.272727,-0.272727,0,0
28,0.127042,15.6,1,-0.2,-0.2,-0.2,0,0
29,0.132873,15.575,1,-0.15,-0.15,-0.15,0,0
30,0.137263,15.5448,1,-0.19403,-0.19403,-0.19403,0,0
31,0.141288,15.5405,1,-0.121622,-0.121622,-0.121622,0,0
32,0.147079,15.5405,1,-0.108108,-0.108108,-0.108108,0,0
33,0.152817,15.5405,1,-0.108108,-0.108108,-0.108108,0,0
34,0.156941,15.5,1,-0.25,-0.25,-0.25,0,0
35,0.164713,15.4936,1,-0.201717,-0.201717,-0.201717,0,0
36,0.173367,15.4771,1,-0.0825688,-0.0825688,-0.0825688,0,0
37,0.179337,15.4638,1,-0.10628,-0.10628,-0.10628,0,0
38,0.186483,15.4472,1,-0.146341,-0.146341,-0.146341,0,0
39,0.191874,15.447,1,-0.119205,-0.119205,-0.119205,0,0
40,0.199395,15.4412,1,-0.0882353,-0.0882353,-0.0882353,0,0
41,0.206088,15.4375,1,-0.125,-0.125,-0.125,0,0
42,0.211705,15.4375,1,-0.125,-0.125,-0.125,0,0
43,0.218088,15.4364,1,-0.1,-0.1,-0.1,0,0
44,0.223436,15.4342,1,-0.0657895,-0.0657895,-0.0657895,0,0
45,0.229149,15.4333,1,-0.1,-0.1,-0.1,0,0
46,0.234632,15.425,1,-0.085,-0.085,-0.085,0,0
47,0.240228,15.4048,1,-0.0753968,-0.0753968,-0.0753968,0,0
48,0.246254,15.38,1,-0.1,-0.1,-0.1,0,0
49,0.251514,15.3728,1,-0.0519713,-0.0519713,-0.0519713,0,0
50,0.257172,15.3659,1,-0.033123,-0.033123,-0.033123,0,0
51,0.263039,15.3653,1,-0.0289093,-0.0289093,-0.0289093,0,0
52,0.269052,15.3469,1,-0.0918367,-0.0918367,-0.0918367,0,0
53,0.274706,15.3462,1,-0.0769231,-0.0769231,-0.0769231,0,0
54,0.280449,15.3438,1,-0.0625,-0.0625,-0.0625,0,0
55,0.28671,15.3424,1,-0.0380435,-0.0380435,-0.0380435,0,0
56,0.293198,15.3382,1,-0.0441176,-0.0441176,-0.0441176,0,0
57,0.299303,15.338,1,-0.0422535,-0.0422535,-0.0422535,0,0
58,0.304987,15.3364,1,-0.0342679,-0.0342679,-0.0342679,0,0
59,0.311421,15.3361,1,-0.0336134,-0.0336134,-0.0336134,0,0
60,0.317272,15.3333,1,-0.0444444,-0.0444444,-0.0444444,0,0
61,0.322532,15.3333,1,-0.0289855,-0.0289855,-0.0289855,0,0
62,0.328527,15.3333,0,0,0,0,0,0
